Loc ID,Route,BMP,Start,EMP,End,K Factor %,D Factor %,T Factor %,AADT_1-AADT 2022,AADT_2-AADT 2042
101170,SR-95,238.9,E Valencia Rd,240.7,Hwy 95,8,51,12.0,36449,59348
101172,SR-95,240.7,Hwy 95,241.6,E Fiesta Dr,9,51,9.0,31475,51249
101173,SR-95,241.7,E Fiesta Dr,242.8,E Mohave Dr,8,52,9.0,32372,44183
101174,SR-95,242.8,E Mohave Dr,243.4,E Riverview Dr,8,57,4.0,28961,47156
101176,SR-95,243.4,E Riverview Dr,243.9,E Marina Blvd,9,52,4.0,32515,52943
101178,SR-95,243.9,E Marina Blvd,244.4,S Agate Cir,8,52,4.0,30129,49058
101180,SR-95,244.4,S Agate Cir,244.9,S Ramar Rd,8,53,9.0,31063,50578
101182,SR-95,244.9,S Ramar Rd,246.1,E Silver Creek Rd,9,56,9.0,29957,48777
101184,SR-95,246.1,E Silver Creek Rd,246.9,E Pass Canyon Rd,8,52,4.0,33213,54079
101186,SR-95,247,E Pass Canyon Rd,247.7,E First St,8,53,4.0,30407,49510
101188,SR-95,247.7,E First St,248.5,E Seventh St,8,53,4.0,27611,44958
101190,SR-95,248.5,E Seventh St,249.8,SR-68,9,51,4.0,26644,43383
101192,SR-95,249.8,SR-68,250,S To Highway 163 Nv,8,52,6.0,26125,42538
101195,SR-96,0.1,W Sr-96,4.1,SR-97,9,66,20.0,1565,2525
101196,SR-96,4.3,SR-97,21.5,W Kirkland Hillside Rd,10,60,26.0,453,834
YYV-CG3065-1,SR-96,21.5,W Kirkland Hillside Rd,22.1,Unidrd Hillside (65),10,81,28.000000000000004,153,282
101197,SR-97,155.7,US-93,166.6,SR-96,9,59,56.00000000000001,1032,1899
101198,SR-98,294.5,US-89,297.1,Coppermine Rd,9,57,15.0,2809,5999
101199,SR-98,297.3,Coppermine Rd,300.7,Navajo Generating St Rd,9,66,10.0,9255,14142
101200,SR-98,300.8,Navajo Generating St Rd,349.3,Indian Route 16,10,53,13.0,2983,3957
101201,SR-98,349.2,Indian Route 16,361.5,US 160,10,53,13.0,2661,3902
101202,SR-99,27.5,S Highway 99,36.2,Territorial Rd,11,56,3.0,790,1160
101203,SR-99,36.3,Territorial Rd,42.6,SR-87,12,51,3.0,556,873
101204,SR-99,52.7,I-40 Exit 245 J-Ramp,72.1,Indian Route 15,12,60,8.0,769,1190
101205,SR-101,1.9,I-10 Exit 133 C1-Ramp,2.9,Thomas Rd,8,56,8.0,128652,202503
101206,SR-101,2.9,Thomas Rd,3.9,Indian School Rd,8,50,6.0,169623,266993
101207,SR-101,3.9,Indian School Rd,5,Camelback Rd,9,60,6.0,155984,206762
101208,SR-101,5,Camelback Rd,6,Bethany Home Rd,8,54,6.0,153982,242373
101209,SR-101,6,Bethany Home Rd,7,Glendale Ave,8,50,7.000000000000001,145378,192703
101210,SR-101,7,Glendale Ave,8.1,Northern Ave,8,57,7.000000000000001,155436,262298
101211,SR-101,8.1,Northern Ave,9.3,Olive Peo Ave,9,51,7.000000000000001,132803,209037
101212,SR-101,9.3,Olive Peo Ave,10.3,Peoria Ave,9,52,6.0,169785,267247
101213,SR-101,10.3,Peoria Ave,11.2,US-60,9,57,6.0,160494,252623
101215,SR-101,11.2,US-60,12.7,Thunderbird Rd,10,55,9.0,112488,177060
101216,SR-101,12.7,Thunderbird Rd,14.7,Bell Rd,9,61,8.0,111923,176171
101217,SR-101,14.7,Bell Rd,15.8,Union Hills Dr,9,57,6.0,104649,164721
101218,SR-101,15.8,Union Hills Dr,17.2,75th Ave,9,65,8.0,101946,160467
101219,SR-101,17.2,75th Ave,18.2,67th Ave,7,63,7.000000000000001,137154,215885
101220,SR-101,18.2,67th Ave,19.2,59th Ave,9,58,8.0,138532,218054
101221,SR-101,19.2,59th Ave,20.2,51st Ave,9,59,8.0,144944,228147
101222,SR-101,20.2,51st Ave,22.2,35th Ave,8,54,5.0,168476,223320
101223,SR-101,22.2,35th Ave,23.4,I-17 nonCard,9,63,7.000000000000001,83443,131342
101224,SR-101,23.4,I-17 nonCard,24.2,19th Ave,9,58,10.0,100223,157754
101225,SR-101,24.2,19th Ave,25.2,7th Ave,9,52,5.0,185849,292533
101226,SR-101,25.2,7th Ave,26.2,7th St,9,56,7.000000000000001,187772,295560
101227,SR-101,26.2,7th St,28.2,Cave Creek Rd,9,56,7.000000000000001,186255,293172
101229,SR-101,28.2,Cave Creek Rd,29.2,32nd St,9,58,4.0,187479,295098
101230,SR-101,29.2,32nd St,29.9,SR-51 Exit 15 A1-Ramp,9,61,6.0,129384,203655
101231,SR-101,29.9,SR-51 Exit 15 A1-Ramp,31.3,Tatum Blvd,9,55,4.0,205637,323680
101232,SR-101,31.3,Tatum Blvd,32.4,56th St,9,60,5.0,171073,269275
101233,SR-101,32.4,56th St,34.5,Scottsdale Rd,9,60,5.0,173166,272569
101234,SR-101,34.5,Scottsdale Rd,35.5,Hayden Rd,8,68,7.000000000000001,160086,251981
101235,SR-101,35.6,Hayden Rd,36.6,Princess Sct Dr,9,57,7.000000000000001,144759,227856
101236,SR-101,36.6,Princess Sct Dr,37.8,Frank Lloyd Wright Blvd,9,52,6.0,152837,240571
101237,SR-101,37.8,Frank Lloyd Wright Blvd,38.6,Raintree Dr,7,52,7.000000000000001,145222,228584
101238,SR-101,38.6,Raintree Dr,40.1,Cactus Rd,7,52,5.0,233598,367691
101239,SR-101,40.1,Cactus Rd,41.1,Shea Blvd,9,50,7.000000000000001,186814,294052
101240,SR-101,41.1,Shea Blvd,42.4,90th Phx St,9,55,6.0,169703,267118
101241,SR-101,42.4,90th Phx St,43.4,Via De Ventura,7,51,5.0,187452,316325
101242,SR-101,43.4,Via De Ventura,44.5,Indian Bend Rd,9,52,6.0,192791,325335
101243,SR-101,44.5,Indian Bend Rd,45.5,McDonald Dr,9,52,6.0,203674,343700
101244,SR-101,45.5,McDonald Dr,46.5,Chaparral Rd,9,52,7.000000000000001,202105,341052
101245,SR-101,46.5,Chaparral Rd,47.5,Indian School Rd,9,58,8.0,174323,294170
101246,SR-101,47.5,Indian School Rd,48.5,Thomas Rd,8,51,7.000000000000001,200067,337613
101247,SR-101,48.5,Thomas Rd,49.5,McDowell Rd,8,51,7.000000000000001,204174,270639
101248,SR-101,49.5,McDowell Rd,50.5,McKellips Rd,6,53,8.0,206086,347770
101249,SR-101,50.5,McKellips Rd,51.2,SR-101 Exit 51 A-Ramp,8,50,6.0,216364,365114
101250,SR-101,51.2,SR-101 Exit 51 A-Ramp,52.1,Rio Salado Pkwy,8,63,7.000000000000001,115441,181708
101251,SR-101,52.1,Rio Salado Pkwy,53.1,Apache Blvd,8,52,5.0,164582,259058
101252,SR-101,53.1,Apache Blvd,53.6,Broadway Rd,8,57,12.0,246172,387483
101253,SR-101,53.6,Broadway Rd,54.6,Southern Ave,10,57,21.0,151500,238466
101254,SR-101,54.6,Southern Ave,56.6,Guadalupe Rd,5,53,7.000000000000001,122426,192703
101255,SR-101,56.6,Guadalupe Rd,57.6,Elliot Rd,9,56,7.000000000000001,201144,316608
101256,SR-101,57.6,Elliot Rd,58.6,Warner Rd,9,51,7.000000000000001,201115,339382
101257,SR-101,58.6,Warner Rd,59.6,Ray Rd,9,61,7.000000000000001,189738,298654
101258,SR-101,59.6,Ray Rd,60.6,Chandler Blvd,9,58,6.0,187089,294485
101259,SR-101,60.6,Chandler Blvd,61.1,Frye Rd,8,52,8.0,136356,214629
101260,SR-101,61,Frye Rd,61.6,Price Rd,8,60,6.0,109793,172818
3914,SR-143,0,SR-143 nonCard,0.2,I-10 Exit 153 F-Ramp,8,53,40.0,28936,36732
3914,SR-143,0.2,I-10 Exit 153 F-Ramp,0.3,I-10 Exit 153 J2-Ramp,9,53,19.0,61833,97327
101317,SR-143,0.1,I-10 Exit 153 J2-Ramp,0.8,University Dr,9,54,8.0,78482,123533
101318,SR-143,0.7,University Dr,1.6,SR-143 Exit 1 A2-Ramp,10,58,8.0,93422,147049
101319,SR-143,1.9,SR-143 Exit 2 B-Ramp,2.5,Washington St,5,58,7.000000000000001,66122,87647
101320,SR-143,2.6,Washington St,2.7,SR-143 Exit 2 A2-Ramp,10,55,16.0,25588,40276
101321,SR-143,2.4,SR-143 Exit 2 A2-Ramp,3.3,SR-143 Exit 3 T-Ramp,10,55,8.0,22480,35384
101327,SR-169,0,Prescott 8850/Prescott 8851 DB,2.4,Crystal Rock Rd,6,52,10.0,10358,14378
101328,SR-169,2.4,Crystal Rock Rd,4.8,E Old Cherry Rd,6,57,10.0,9360,15104
101329,SR-169,4.8,E Old Cherry Rd,15,I-17 Exit 278 J-Ramp,10,53,13.0,6205,7852
101330,SR-177,136.2,SR-77 Front,137.6,N Velasco Ave,9,69,21.0,2747,5085
101331,SR-177,137.7,N Velasco Ave,139.2,Copper Basin 4,8,51,40.0,1011,2319
101332,SR-177,139.2,Copper Basin 4,146.2,S Tilbury Dr,8,54,24.0,2102,4821
101333,SR-177,146.2,S Tilbury Dr,152.2,E Florence-Kelvin Hwy,8,52,16.0,2179,4997
101334,SR-177,152.2,E Florence-Kelvin Hwy,167.1,W Ray St,9,58,36.0,1758,4572
101335,SR-177,166.8,W Ray St,167.4,US-60 Exit 226 X-Ramp,9,51,23.0,3018,7587
101336,SR-179,298.8,I-17 Exit 298 J-Ramp,302.9,Beaverhead Flat Rd,9,56,6.0,7491,11431
101337,SR-179,303,Beaverhead Flat Rd,305.6,Rojo Dr,9,56,5.0,10922,17624
101338,SR-179,305.6,Rojo Dr,306.2,Jacks Canyon Rd,8,51,7.000000000000001,11955,19291
101339,SR-179,306.2,Jacks Canyon Rd,306.5,Castle Rock Rd,9,54,10.0,12981,21430
101340,SR-179,306.5,Castle Rock Rd,307,Bell Rock Blvd,9,54,10.0,12663,20434
101341,SR-179,307,Bell Rock Blvd,310.1,Indian Cliffs Rd,9,52,11.0,13617,15900
101342,SR-179,310,Indian Cliffs Rd,310.5,W Chapel Rd,11,58,6.0,13170,22647
101343,SR-179,310.5,W Chapel Rd,312,Morgan Rd (A),9,52,5.0,14703,27636
101344,SR-179,311.9,Morgan Rd,312.9,Schnebly Hill Rd,9,56,7.000000000000001,15925,27384
101345,SR-179,312.8,Schnebly Hill Rd,313.2,SR-89A,9,58,37.0,18956,22134
101347,SR-181,38.2,US-191,40.2,S Dos Cabezas Rd,8,57,21.0,1004,1762
101348,SR-181,40.2,S Dos Cabezas Rd,44.3,S Feather Pine Rd,10,59,28.999999999999996,615,1080
101349,SR-181,44.4,S Feather Pine Rd,61,SR-186,11,54,24.0,265,432
101350,SR-181,61,SR-186,64,E Bonita Canyon Rd,13,57,18.0,203,609
101351,SR-186,326.2,I-10 Exit 340 A-Ramp,327.3,SR-10B nonCard,12,50,9.0,4787,14361
101353,SR-186,328.1,SR-10B nonCard,334.2,S Kansas Settlement Rd,7,59,11.0,1822,3198
101354,SR-186,334.2,S Kansas Settlement Rd,340,E Rocky Rd,11,56,35.0,299,525
101355,SR-186,339.9,E Rocky Rd,359.5,SR-181,13,56,38.0,199,324
101356,SR-187,186.6,SR-387,192.1,Highway 87,7,52,25.0,4456,11589
101357,SR-188,214.7,US-60,216.6,N Bixby Rd,9,52,9.0,3242,9532
101359,SR-188,216.8,N Bixby Rd,219.4,N Wheatfields Rd,10,52,22.0,2290,3467
101360,SR-188,219.4,N Wheatfields Rd,223.1,N Wheatfields Rd,10,61,37.0,1336,2023
101361,SR-188,223.1,N Wheatfields Rd,229.6,SR-288,9,61,31.0,1137,1721
101362,SR-188,229.6,SR-288,235.5,N School House Pt,10,54,27.0,1130,2092
101363,SR-188,235.5,N School House Pt,244.2,SR-88,10,52,22.0,1447,2191
101364,SR-188,244.2,SR-88,260.1,E Dryer Dr,11,65,22.0,1042,1929
101365,SR-188,260.8,E Dryer Dr,276.4,Az 87,9,58,24.0,1908,3532
101366,SR-189,0,Tucson 8153 DB,1.1,N Target Range Rd,10,54,19.0,10350,12074
101368,SR-189,1.1,N Target Range Rd,1.9,W Industrial Park Dr,10,54,24.0,9680,14492
101370,SR-189,1.9,W Industrial Park Dr,2.6,N Frank Reed Rd,9,56,41.0,5668,6612
101372,SR-189,2.4,N Frank Reed Rd,2.6,I-19 Exit 4 J-Ramp,9,56,26.0,16971,25407
